|6.6.6
PYR-Ringwood88_2.tab                                                                                
           2
T(K)    
   400.00360000000001     
   19.999960000020000     
         181
P(bar)  
   15001.334999999999     
   5114.9322988556905     
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  3339.998       15001.33       2999.040      0.1160903E-03   1826.548       6.057187       3.396118      -8705724.    
  3359.998       15001.33       3006.028      0.8351813E-04   1552.581       6.170032       3.481798      -8706575.    
  3379.998       15001.33       3000.971      0.8489309E-04   1562.674       6.146338       3.467036      -8675423.    
  3399.998       15001.33       2955.535      0.8297308E-04   1589.372       6.061529       3.370268      -8695205.    
  3419.998       15001.33       2950.567      0.8530814E-04   1606.526       6.035675       3.355925      -8663249.    
  3439.998       15001.33       2887.671      0.7796202E-04   1573.902       5.994861       3.182302      -8661166.    
  3459.997       15001.33       2982.266      0.8393399E-04   1615.492       6.075285       3.283802      -8637274.    
  3479.997       15001.33       2977.177      0.8690263E-04   1637.442       6.047022       3.267701      -8604749.    
  3499.997       15001.33       2971.911      0.9022623E-04   1662.005       6.017630       3.251124      -8571760.    
  3519.997       15001.33       2966.444      0.9398521E-04   1689.773       5.986958       3.234008      -8538248.    
  3539.997       15001.33       2960.749      0.9828849E-04   1721.544       5.954819       3.216277      -8504143.    
  3559.997       15001.33       2954.791      0.1032881E-03   1758.433       5.920978       3.197834      -8469354.    
  3579.997       15001.33       2948.525      0.1092037E-03   1802.049       5.885125       3.178552      -8433763.    
  3599.997       15001.33       2941.890      0.1163681E-03   1854.827       5.846854       3.158260      -8397213.    
  3619.997       15001.33       2934.800      0.1253146E-03   1920.664       5.805598       3.136719      -8359486.    
  3639.997       15001.33       2927.132      0.1369666E-03   2006.297       5.760553       3.113574      -8320260.    
  3659.997       15001.33       2918.686      0.1531068E-03   2124.700       5.710527       3.088260      -8279026.    
  3679.997       15001.33       2909.110      0.1777975E-03   2305.328       5.653823       3.059763      -8234880.    
  3699.997       15001.33       2897.648      0.2234575E-03   2637.447       5.590227       3.025892      -8185887.    
  3719.997       15001.33       2881.783      0.3729693E-03   3685.348       5.686105       2.979299      -8125620.    
  3739.997       15001.33       3267.635      0.7214999E-04   1610.954       7.077213       3.812749      -8147634.    
  3759.997       15001.33       3262.832      0.7502808E-04   1637.242       7.052113       3.799522      -8115161.    
  3779.997       15001.33       3257.829      0.7859538E-04   1669.691       7.025455       3.785678      -8082105.    
  3799.997       15001.33       3252.569      0.8323622E-04   1711.688       6.996820       3.771051      -8048312.    
  3819.997       15001.33       3246.963      0.8974928E-04   1770.220       6.965604       3.755385      -8013532.    
  3839.997       15001.33       3240.837      0.1002548E-03   1863.621       6.931307       3.738211      -7977287.    
  3859.997       15001.33       3233.726      0.1248418E-03   2076.063       6.907911       3.718398      -7938313.    
  3879.997       15001.33       3309.294      0.8621329E-04   1763.616       7.069569       3.663110      -7835234.    
  3899.997       15001.33       3303.063      0.1071810E-03   1954.801       7.049919       3.639234      -7798460.    
  3919.997       15001.33                NaN            NaN            NaN            NaN            NaN            NaN
  3939.997       15001.33                NaN            NaN            NaN            NaN            NaN            NaN
  3959.996       15001.33                NaN            NaN            NaN            NaN            NaN            NaN
  3979.996       15001.33                NaN            NaN            NaN            NaN            NaN            NaN
  3999.996       15001.33                NaN            NaN            NaN            NaN            NaN            NaN
  400.0036       20116.27       3526.012      0.2207512E-04   966.1649       8.402448       4.857029     -0.1236834E+08
  420.0036       20116.27       3524.439      0.2254613E-04   983.7698       8.393129       4.851147     -0.1234884E+08
  440.0035       20116.27       3522.834      0.2297756E-04   999.4738       8.383627       4.845156     -0.1232900E+08
  460.0035       20116.27       3521.201      0.2337504E-04   1013.538       8.373958       4.839067     -0.1230887E+08
  480.0034       20116.27       3519.543      0.2374330E-04   1026.185       8.364137       4.832888     -0.1228847E+08
  500.0034       20116.27       3517.859      0.2408638E-04   1037.600       8.354173       4.826626     -0.1226783E+08
  520.0034       20116.27       3516.154      0.2440768E-04   1047.942       8.344078       4.820289     -0.1224697E+08
  540.0033       20116.27       3514.427      0.2471010E-04   1057.347       8.333860       4.813883     -0.1222592E+08
