X,Y,Z
-5091634.149072855,615967.5869283382,-3554355.86623636
-5089097.009532372,630310.4505776094,-3555474.702970242
-5090998.44241506,614763.7724086492,-3555474.702970242
-5088629.573564665,629876.8273513285,-3556220.5001108856
-5088418.693375871,629475.0177637113,-3556593.3704760754
-5090105.4129321985,613529.2826131108,-3556966.2220232813
-5087951.025943627,629041.4986456798,-3557339.0547684357
-5089982.311826058,612387.8793028693,-3557339.0547684357
-5087785.702190902,628269.7731776081,-3557711.8687006105
-5091918.395301792,593846.2047483639,-3557711.8687006105
-5087363.415932503,627466.4303076892,-3558457.440109198
-5087152.185179046,627064.8049007347,-3558830.1975906165
-5090974.394997039,595237.2083477937,-3558830.1975906165
-5088618.626012468,610722.2180680935,-3559575.656079944
-5088193.3049020795,609920.4778335034,-3560321.0392700545
-5085958.667961843,626166.7380602633,-3560693.702627449
-5085656.106725109,626504.9363700286,-3561066.347154121
-5089991.868421843,590245.076697738,-3561066.347154121
-5085233.0611967975,625701.9929940746,-3561811.5796984937
-5089220.014616142,590155.5710716933,-3562184.167721192
-5086694.707207226,609365.6144421335,-3562556.7368963477
-5084779.498917501,623018.7328777814,-3562929.287239875
-5084567.596698306,622617.4613385531,-3563301.8187408643
-5085780.30113964,612632.7424306085,-3563301.8187408643
-5085958.293612634,611153.3229811668,-3563301.8187408643
-5088490.815932656,589695.9934805974,-3563301.8187408643
-5089046.032655061,584885.1392160938,-3563301.8187408643
-5088233.394599474,589666.1613880764,-3563674.331388401
-5088490.200627498,587445.9446803231,-3563674.331388401
-5088831.101677252,584485.4817749731,-3563674.331388401
-5085239.347805725,608441.0489225667,-3564791.756262127
-5088058.585480512,584396.7532452953,-3564791.756262127
-5086515.830402443,593216.129320536,-3565536.6119252373
-5086558.956839799,592846.2259418706,-3565536.6119252373
-5086602.056387251,592476.3193391657,-3565536.6119252373
-5086171.940187609,593925.8512689786,-3565909.0114643453
-5086430.605052148,591706.5336348783,-3565909.0114643453
-5085827.924235021,594635.4824989586,-3566281.3921540915
-5082567.7663017055,619746.6418995793,-3566653.75398357
-5085223.530196543,597563.9272331625,-3566653.75398357
-5085266.972818051,597194.1178217104,-3566653.75398357
-5085440.474398879,595714.8483466026,-3566653.75398357
-5085483.782561414,595345.0230746572,-3566653.75398357
-5082265.205071184,620084.8402100843,-3567026.0969418767
-5084835.43219994,598643.0081272592,-3567026.0969418767
-5086640.162412054,583109.4938965418,-3567026.0969418767
-5082097.829006032,619314.2675075793,-3567398.421044911
-5085997.358424979,584160.0078582842,-3567770.726281769
-5086082.267255853,583420.2733813872,-3567770.726281769
-5083362.556318634,604467.1722723838,-3568143.012641549
-5083406.500973672,604097.4980877741,-3568143.012641549
-5083450.418734588,603727.8207971163,-3568143.012641549
-5085824.488523029,583390.7037970049,-3568143.012641549
-5083236.622106,603327.5553848369,-3568515.2801401503
-5083280.4838860845,602957.8903614335,-3568515.2801401503
-5083499.389517133,601109.517629848,-3568515.2801401503
-5083761.189101741,598891.365432092,-3568515.2801401503
-5085524.246218179,583730.9624589714,-3568515.2801401503
-5085566.682887649,583361.131126653,-3568515.2801401503
-5083503.44810787,598861.0023111654,-3568887.5287666693
-5083546.985070318,598491.3178954368,-3568887.5287666693
-5085138.950935941,584810.7870823358,-3568887.5287666693
-5085308.850357268,583331.5553711978,-3568887.5287666693
-5083202.118598528,599200.2985272143,-3569259.758510207
-5083245.680236091,598830.6360238927,-3569259.758510207
-5083289.214990922,598460.9703536545,-3569259.758510207
-5083332.72285235,598091.3016071791,-3569259.758510207
-5084454.490767879,588478.808106124,-3569259.758510207
-5084838.56021023,585150.9146184581,-3569259.758510207
-5082987.885475399,598800.2665689775,-3569631.9693866554
-5083031.418022382,598430.6196461851,-3569631.9693866554
-5084153.82803935,588818.6953261383,-3569631.9693866554
-5084452.910012451,586230.5084168437,-3569631.9693866554
-5084793.104623133,583272.3946063118,-3569631.9693866554
-5082773.594172247,598400.2657739172,-3570004.1613851166
-5082860.5741986865,597661.0000238873,-3570004.1613851166
-5084195.014060747,586200.7733642113,-3570004.1613851166
-5084450.308412472,583982.3190622083,-3570004.1613851166
-5082515.743448066,598369.9087377397,-3570376.3344946904
-5082559.244689353,598000.2962399339,-3570376.3344946904
-5082602.719061981,597630.6804908969,-3570376.3344946904
-5082214.339916769,598709.139205083,-3570748.4887312716
-5082257.8658388285,598339.5485363565,-3570748.4887312716
-5082301.364872942,597969.954792017,-3570748.4887312716
-5082344.837039759,597600.357796611,-3570748.4887312716
-5083721.753450035,585771.5968893016,-3570748.4887312716
-5081956.437638795,598678.7570841182,-3571120.6240839604
-5081999.961352086,598309.1851706563,-3571120.6240839604
-5082043.458178796,597939.6101817376,-3571120.6240839604
-5082086.928139573,597570.0319419175,-3571120.6240839604
-5081611.384869554,599387.4685217572,-3571492.740541861
-5081654.960112256,599017.9217880619,-3571492.740541861
-5081698.508491099,598648.3717977715,-3571492.740541861
-5081872.433248239,597170.1402853368,-3571492.740541861
-5079409.618895601,615613.1103758973,-3571864.838120861
-5081353.4332636725,599357.042550871,-3571864.838120861
-5081657.880180686,596770.2799179723,-3571864.838120861
-5081701.265106379,596400.7297212697,-3571864.838120861
-5084213.39976342,574591.7540845217,-3571864.838120861
-5079196.49205259,615212.4879259124,-3572236.9168100646
-5081486.624818333,596000.9160829462,-3572236.9168100646
-5081529.9537843615,595631.3784310091,-3572236.9168100646
-5080706.582382932,600404.6336080547,-3572608.9765985757
-5080750.231598348,600035.1526707528,-3572608.9765985757
-5081315.226281817,595231.6116301727,-3572608.9765985757
