# Latitude   Longitude    X             Y            Z         Velocity     Azimuth      Mag_percent
-3.81078e+01 1.76686e+02 -5.00000e+01 -1.00000e+02 4.00000e+00 5.51000e+00 3.08000e+01 1.28000e-01
-3.82275e+01 1.76857e+02 -3.00000e+01 -1.00000e+02 4.00000e+00 5.71000e+00 8.46200e+00 1.80700e+00
-3.83468e+01 1.77028e+02 -1.00000e+01 -1.00000e+02 4.00000e+00 5.84000e+00 7.51300e+00 2.15100e+00
-3.84659e+01 1.77200e+02 1.00000e+01 -1.00000e+02 4.00000e+00 5.28000e+00 5.07300e+00 1.95900e+00
-3.85848e+01 1.77372e+02 3.00000e+01 -1.00000e+02 4.00000e+00 5.19000e+00 1.38000e-01 2.60300e+00
-3.87033e+01 1.77545e+02 5.00000e+01 -1.00000e+02 4.00000e+00 4.52000e+00 1.85500e+01 1.22500e+00
-3.88216e+01 1.77719e+02 7.00000e+01 -1.00000e+02 4.00000e+00 4.54000e+00 4.59500e+01 4.99000e-01
-3.89397e+01 1.77893e+02 9.00000e+01 -1.00000e+02 4.00000e+00 4.47000e+00 2.21500e+01 2.29600e+00
-3.91162e+01 1.78155e+02 1.20000e+02 -1.00000e+02 4.00000e+00 4.00000e+00 1.72800e+01 7.14000e-01
-3.75904e+01 1.75285e+02 -1.80000e+02 -6.00000e+01 4.00000e+00 5.16000e+00 2.72800e+01 3.11000e-01
-3.78031e+01 1.75578e+02 -1.45000e+02 -6.00000e+01 4.00000e+00 5.43000e+00 -1.22400e+01 8.84000e-01
-3.79546e+01 1.75788e+02 -1.20000e+02 -6.00000e+01 4.00000e+00 5.06000e+00 8.40300e+01 1.67000e-01
-3.81057e+01 1.76000e+02 -9.50000e+01 -6.00000e+01 4.00000e+00 5.72000e+00 1.27600e+02 9.01000e-01
-3.82565e+01 1.76212e+02 -7.00000e+01 -6.00000e+01 4.00000e+00 5.02000e+00 4.34700e+01 2.44400e+00
-3.83768e+01 1.76382e+02 -5.00000e+01 -6.00000e+01 4.00000e+00 5.33000e+00 -1.66900e+01 4.95000e-01
-3.84968e+01 1.76553e+02 -3.00000e+01 -6.00000e+01 4.00000e+00 5.62000e+00 1.82200e+01 1.41300e+00
-3.86166e+01 1.76724e+02 -1.00000e+01 -6.00000e+01 4.00000e+00 5.90000e+00 3.14100e+01 4.38700e+00
-3.87362e+01 1.76896e+02 1.00000e+01 -6.00000e+01 4.00000e+00 5.38000e+00 3.51600e+01 3.82400e+00
-3.88554e+01 1.77069e+02 3.00000e+01 -6.00000e+01 4.00000e+00 5.28000e+00 2.39800e+01 3.10100e+00
-3.89745e+01 1.77242e+02 5.00000e+01 -6.00000e+01 4.00000e+00 4.43000e+00 3.87000e+01 2.16600e+00
-3.90932e+01 1.77416e+02 7.00000e+01 -6.00000e+01 4.00000e+00 4.14000e+00 8.25800e+01 5.18000e-01
-3.92117e+01 1.77590e+02 9.00000e+01 -6.00000e+01 4.00000e+00 4.73000e+00 6.12000e+01 1.27500e+00
-3.93889e+01 1.77852e+02 1.20000e+02 -6.00000e+01 4.00000e+00 3.92000e+00 1.77700e+01 9.50000e-01
-3.77894e+01 1.75055e+02 -1.80000e+02 -3.00000e+01 4.00000e+00 5.06000e+00 5.75700e+01 1.29000e-01
-3.80027e+01 1.75348e+02 -1.45000e+02 -3.00000e+01 4.00000e+00 5.04000e+00 9.15600e+00 4.60000e-01
-3.81546e+01 1.75558e+02 -1.20000e+02 -3.00000e+01 4.00000e+00 5.67000e+00 6.16600e+00 3.90900e+00
-3.83062e+01 1.75770e+02 -9.50000e+01 -3.00000e+01 4.00000e+00 5.12000e+00 -2.79400e+01 3.74000e-01
-3.84573e+01 1.75982e+02 -7.00000e+01 -3.00000e+01 4.00000e+00 5.45000e+00 3.92600e+01 8.77900e+00
-3.85780e+01 1.76152e+02 -5.00000e+01 -3.00000e+01 4.00000e+00 5.25000e+00 -4.49200e+01 2.50700e+00
-3.86983e+01 1.76323e+02 -3.00000e+01 -3.00000e+01 4.00000e+00 5.97000e+00 1.40100e+01 9.32800e+00
-3.88185e+01 1.76495e+02 -1.00000e+01 -3.00000e+01 4.00000e+00 5.62000e+00 3.74900e+01 9.03800e+00
-3.89383e+01 1.76667e+02 1.00000e+01 -3.00000e+01 4.00000e+00 5.36000e+00 4.56400e+01 8.74400e+00
-3.90579e+01 1.76839e+02 3.00000e+01 -3.00000e+01 4.00000e+00 4.65000e+00 -4.38000e+00 9.48000e-01
-3.91773e+01 1.77013e+02 5.00000e+01 -3.00000e+01 4.00000e+00 4.50000e+00 7.04400e+01 6.16100e+00
-3.92964e+01 1.77187e+02 7.00000e+01 -3.00000e+01 4.00000e+00 4.75000e+00 5.47300e+01 1.14800e+00
-3.94152e+01 1.77361e+02 9.00000e+01 -3.00000e+01 4.00000e+00 4.49000e+00 -1.57000e+01 7.40000e-02
-3.95929e+01 1.77624e+02 1.20000e+02 -3.00000e+01 4.00000e+00 4.07000e+00 2.51600e+01 1.01400e+00
-3.79880e+01 1.74823e+02 -1.80000e+02 0.00000e+00 4.00000e+00 5.06000e+00 3.44700e+01 7.44000e-01
-3.82019e+01 1.75117e+02 -1.45000e+02 0.00000e+00 4.00000e+00 4.91000e+00 2.84100e+01 9.28000e-01
-3.83542e+01 1.75327e+02 -1.20000e+02 0.00000e+00 4.00000e+00 5.86000e+00 2.74600e+01 6.12700e+00
-3.85062e+01 1.75538e+02 -9.50000e+01 0.00000e+00 4.00000e+00 6.27000e+00 -1.09200e+01 5.34300e+00
-3.86577e+01 1.75751e+02 -7.00000e+01 0.00000e+00 4.00000e+00 5.43000e+00 2.57000e+00 9.12400e+00
-3.87787e+01 1.75921e+02 -5.00000e+01 0.00000e+00 4.00000e+00 5.03000e+00 7.97900e+01 4.66300e+00
-3.88994e+01 1.76092e+02 -3.00000e+01 0.00000e+00 4.00000e+00 6.27000e+00 3.69100e+01 7.50100e+00
-3.90199e+01 1.76264e+02 -1.00000e+01 0.00000e+00 4.00000e+00 6.04000e+00 4.34700e+01 7.07500e+00
-3.91401e+01 1.76436e+02 1.00000e+01 0.00000e+00 4.00000e+00 5.68000e+00 5.61600e+01 6.84100e+00
-3.92600e+01 1.76609e+02 3.00000e+01 0.00000e+00 4.00000e+00 5.16000e+00 8.77400e+01 2.72100e+00
-3.93797e+01 1.76782e+02 5.00000e+01 0.00000e+00 4.00000e+00 4.22000e+00 1.03200e+00 1.64100e+00
-3.94991e+01 1.76956e+02 7.00000e+01 0.00000e+00 4.00000e+00 4.08000e+00 3.57700e+01 2.25700e+00
-3.96182e+01 1.77131e+02 9.00000e+01 0.00000e+00 4.00000e+00 4.03000e+00 6.01800e+01 3.08700e+00
-3.97964e+01 1.77394e+02 1.20000e+02 0.00000e+00 4.00000e+00 4.10000e+00 2.24200e+01 6.39000e-01
-3.81861e+01 1.74591e+02 -1.80000e+02 3.00000e+01 4.00000e+00 5.10000e+00 1.89000e+01 1.24400e+00
-3.84005e+01 1.74884e+02 -1.45000e+02 3.00000e+01 4.00000e+00 5.39000e+00 2.07000e+01 3.64700e+00
-3.85533e+01 1.75095e+02 -1.20000e+02 3.00000e+01 4.00000e+00 5.36000e+00 2.57000e+01 1.60500e+00
-3.87057e+01 1.75306e+02 -9.50000e+01 3.00000e+01 4.00000e+00 5.85000e+00 -1.59300e+01 3.76000e-01
-3.88577e+01 1.75518e+02 -7.00000e+01 3.00000e+01 4.00000e+00 5.57000e+00 -8.67300e+00 1.10900e+00
-3.89790e+01 1.75689e+02 -5.00000e+01 3.00000e+01 4.00000e+00 5.93000e+00 4.15600e+01 2.07200e+00
-3.91000e+01 1.75860e+02 -3.00000e+01 3.00000e+01 4.00000e+00 6.04000e+00 4.19500e+01 8.98200e+00
-3.92208e+01 1.76032e+02 -1.00000e+01 3.00000e+01 4.00000e+00 6.29000e+00 4.28700e+01 4.14000e+00
-3.93413e+01 1.76204e+02 1.00000e+01 3.00000e+01 4.00000e+00 5.55000e+00 9.55800e+01 2.23700e+00
-3.94616e+01 1.76377e+02 3.00000e+01 3.00000e+01 4.00000e+00 5.59000e+00 6.63500e+01 4.06800e+00
-3.95816e+01 1.76551e+02 5.00000e+01 3.00000e+01 4.00000e+00 4.26000e+00 6.09300e+01 7.03000e+00
-3.97014e+01 1.76725e+02 7.00000e+01 3.00000e+01 4.00000e+00 5.02000e+00 1.74000e+01 5.63500e+00
-3.98208e+01 1.76899e+02 9.00000e+01 3.00000e+01 4.00000e+00 4.54000e+00 1.61600e+01 7.38700e+00
-3.99995e+01 1.77162e+02 1.20000e+02 3.00000e+01 4.00000e+00 4.25000e+00 2.37200e+01 5.72000e-01
-3.83837e+01 1.74357e+02 -1.80000e+02 6.00000e+01 4.00000e+00 5.04000e+00 4.50000e+01 0.00000e+00
-3.85988e+01 1.74650e+02 -1.45000e+02 6.00000e+01 4.00000e+00 5.33000e+00 1.01600e+01 2.17200e+00
-3.87519e+01 1.74861e+02 -1.20000e+02 6.00000e+01 4.00000e+00 5.16000e+00 1.56000e+01 9.94000e-01
-3.89047e+01 1.75072e+02 -9.50000e+01 6.00000e+01 4.00000e+00 5.66000e+00 -3.70100e+01 3.28000e-01
-3.90571e+01 1.75285e+02 -7.00000e+01 6.00000e+01 4.00000e+00 6.10000e+00 1.87800e+01 2.99500e+00
-3.91788e+01 1.75456e+02 -5.00000e+01 6.00000e+01 4.00000e+00 5.71000e+00 5.42000e+01 4.14600e+00
-3.93001e+01 1.75627e+02 -3.00000e+01 6.00000e+01 4.00000e+00 5.71000e+00 5.63600e+01 3.93300e+00
-3.94213e+01 1.75799e+02 -1.00000e+01 6.00000e+01 4.00000e+00 6.09000e+00 3.32500e+01 4.20500e+00
-3.95421e+01 1.75971e+02 1.00000e+01 6.00000e+01 4.00000e+00 5.67000e+00 1.03300e+02 3.66400e+00
-3.96628e+01 1.76144e+02 3.00000e+01 6.00000e+01 4.00000e+00 5.61000e+00 4.87100e+01 4.35200e+00
-3.97831e+01 1.76318e+02 5.00000e+01 6.00000e+01 4.00000e+00 5.23000e+00 4.51100e+01 9.60000e-01
-3.99032e+01 1.76492e+02 7.00000e+01 6.00000e+01 4.00000e+00 5.05000e+00 2.41600e+01 3.29400e+00
-4.00230e+01 1.76667e+02 9.00000e+01 6.00000e+01 4.00000e+00 4.58000e+00 1.64200e+01 1.68400e+00
