publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p220108,earthquake,2024-03-22T10:32:59.921Z,2024-04-12T02:16:41.398Z,-178.1179352,-33.85471725,5.236365213,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,36,30,10,4.581856728,209.5396702,1.140350814,0.4
2024p152292,earthquake,2024-02-26T08:21:12.820Z,2024-03-15T04:59:12.899Z,171.2770996,-43.52474594,5.093902415,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,45,36,42,0.2014596313,31.24824524,0.3047948264,0.1591506074
2024p063773,earthquake,2024-01-24T14:18:38.005Z,2024-02-20T23:13:40.855Z,176.3731995,-40.29014969,5.211085861,10.5198679,MLv,,LOCSAT,confirmed,manual,iasp91,38,25,54,0.1582523137,61.51146698,0.5357282651,0.214304049
2023p966932,earthquake,2023-12-24T18:20:48.380Z,2024-01-19T09:20:50.655Z,-179.5714111,-32.40865326,5.074357476,258.1061401,Mw(mB),,LOCSAT,confirmed,manual,iasp91,23,18,12,3.443021059,171.2370529,0.8725799695,0.4
2023p876681,earthquake,2023-11-21T08:56:32.051Z,2023-12-15T00:10:16.163Z,167.5773926,-45.02968979,5.085400688,94.51904297,MLv,,LOCSAT,confirmed,manual,iasp91,28,17,49,0.399748385,153.2662354,0.6078100378,0.2014707798
2023p873042,earthquake,2023-11-20T00:36:22.945Z,2023-11-20T00:47:43.357Z,165.1965942,-48.23340988,5.194588654,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,15,19,2.302384853,132.4344788,0.8588644475,0.1681906695
2023p857633,earthquake,2023-11-14T07:45:59.622Z,2023-12-06T23:05:36.570Z,-178.5912476,-32.85009003,5.396260557,100,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,43,36,21,3.622833014,140.8350067,1.719472983,0.4
2023p798327,earthquake,2023-10-23T09:09:04.193Z,2023-11-08T22:57:44.304Z,171.7832947,-42.73765182,5.141187882,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,20,112,0.2502634227,53.42201954,0.4975290588,0
2023p707798,earthquake,2023-09-19T21:14:49.067Z,2023-10-09T01:11:10.240Z,171.0763245,-43.69734573,5.973363132,11.69156933,Mw(mB),,LOCSAT,confirmed,manual,iasp91,50,40,37,0.0237295758,39.10713959,0.5562852343,0.4
2023p676709,earthquake,2023-09-08T09:09:56.244Z,2023-09-28T22:00:17.506Z,-178.8240204,-33.04370117,6.778439537,100,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,28,23,150,3.848625422,111.5390472,2.25995263,0.4
2023p637173,earthquake,2023-08-24T18:04:54.876Z,2023-09-12T00:06:06.526Z,-179.4664154,-32.47513962,5.341052379,279.4130859,Mw(mB),,LOCSAT,confirmed,manual,iasp91,43,34,19,3.467735052,134.5491333,1.294208766,0.4
2023p599987,earthquake,2023-08-10T23:53:21.214Z,2023-08-23T05:47:32.804Z,173.5944366,-40.24860382,5.238149966,168.5975647,Mw(mB),,LOCSAT,confirmed,manual,iasp91,69,48,3,0.6062101126,124.8614397,0.4113427676,0.4
2023p585584,earthquake,2023-08-05T15:59:38.790Z,2023-08-18T02:55:29.407Z,166.3962402,-46.39383316,5.331386894,23.27933884,MLv,,LOCSAT,confirmed,manual,iasp91,32,21,29,0.3012356758,277.5704346,0.8688687251,0.1043865351
2023p499109,earthquake,2023-07-04T16:05:21.877Z,2023-07-20T22:43:48.223Z,-178.3312988,-33.3407402,5.058419505,100,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,28,27,19,4.081301689,202.6504984,0.7635103929,0.4
2023p336443,earthquake,2023-05-05T11:37:12.594Z,2023-05-31T02:49:48.815Z,177.2187958,-37.22119141,5.311891228,169.0026245,MLv,,LOCSAT,confirmed,manual,tab,40,33,115,0.6624318361,167.8941574,0.4977405411,0.4451346055
2023p310621,earthquake,2023-04-25T22:19:03.548Z,2023-04-25T23:04:08.635Z,176.5203247,-40.26909256,5.439800973,13.39922428,MLv,,LOCSAT,confirmed,manual,iasp91,44,29,6,0.08792390674,102.0167313,0.5471639217,0.126867
2023p310616,earthquake,2023-04-25T22:16:14.377Z,2023-04-27T04:08:22.203Z,176.619812,-40.28248215,5.887213472,20.70372009,MLv,,LOCSAT,confirmed,manual,iasp91,42,31,40,0.01993139833,169.617424,0.5945146164,0.2261936346
2023p192074,earthquake,2023-03-13T01:37:19.154Z,2023-03-28T03:10:24.434Z,176.8643799,-43.97176361,5.669209487,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,44,34,42,2.677706718,155.1781845,1.158355074,0
2023p167719,earthquake,2023-03-04T01:19:33.363Z,2023-03-24T01:42:57.726Z,-178.1749573,-32.52590179,5.124812965,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,29,24,33,3.260886908,170.2916052,1.493635626,0.2673687101
2023p122368,earthquake,2023-02-15T06:38:10.342Z,2023-02-16T01:07:05.995Z,174.5874176,-40.57481766,5.976956766,54.28686523,Mw(mB),,LOCSAT,confirmed,manual,iasp91,119,86,6,0.3764056861,64.55978394,0.4229719063,0.4
2023p112988,earthquake,2023-02-11T19:20:09.675Z,2023-02-27T01:50:32.838Z,-179.6893616,-35.10508347,5.069401272,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,21,13,2.937813282,258.638382,0.6358590107,0.1542746487
2023p089894,earthquake,2023-02-03T06:15:38.162Z,2023-02-19T22:41:09.304Z,179.9072723,-34.00351334,5.040165908,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,36,27,36,3.781921625,174.6074848,1.109246207,0.1684258298
2023p077263,earthquake,2023-01-29T14:04:57.055Z,2023-02-14T23:30:53.538Z,-178.5001526,-32.84441757,5.12635726,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,22,18,41,3.605639458,196.4491501,1.198263055,0.210500651
2023p074104,earthquake,2023-01-28T10:01:44.726Z,2023-02-14T22:16:21.898Z,-177.8186951,-33.14751816,5.012572696,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,7,3.874396086,211.9312439,1.216746502,0.07026426803
2023p007281,earthquake,2023-01-03T16:39:21.821Z,2023-01-03T16:57:35.901Z,175.6892548,-37.59829712,5.109284389,6.732970715,MLv,,LOCSAT,confirmed,manual,iasp91,39,33,29,0.05629680306,63.29771423,0.357854833,0.1842542091
2022p955929,earthquake,2022-12-20T16:38:40.603Z,2023-01-10T04:13:12.976Z,-178.9855042,-34.05183411,6.492863618,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,36,28,8,4.136562347,158.9810734,1.064082671,0.1166930408
